Produkt,Kcal,Bia³ko,T³uszcz,Wêglowodany,B³onnik,Sód,Potas,Wapñ,¯elazo,Magnez,Witamina A,Witamina E,Witamina C
Mleko spo¿ywcze 3.5% t³uszczu,64,3,4,5,0,44,138,118,0,12,40,0,1
Mleko spo¿ywcze 3.2% t³uszczu,62,3,3,5,0,44,139,118,0,12,36,0,1
Mleko spo¿ywcze 2% t³uszczu,52,3,2,5,0,45,141,120,0,12,25,0,1
Mleko spo¿ywcze 1.5% t³uszczu,48,3,2,5,0,45,141,120,0,12,20,0,1
Mleko spo¿ywcze 0.5% t³uszczu,40,4,1,5,0,45,141,121,0,12,15,0,1
Mleko kozie,68,3,4,5,0,40,161,130,0,14,74,0,1
Mleko w proszku odt³uszczone,363,36,1,51,0,480,1874,1404,1,143,7,0,14
Mleko w proszku pe³ne,483,27,24,39,0,357,1393,1062,1,108,199,0,11
Mleko zagêszczone nies³odzone,132,7,8,9,0,120,304,258,0,26,62,0,5
Mleko zagêszczone s³odzone,329,8,8,55,0,110,348,295,0,30,66,0,4
Œmietanka kremowa 30% t³uszczu,1200,289,2,30,0,32,101,86,0,9,249,1,0
Œmietana 18% t³uszczu,770,186,3,18,0,37,116,99,0,10,150,0,0
Œmietana 12% t³uszczu,556,134,3,12,0,40,125,106,0,11,100,0,0
Œmietanka do kawy 9% t³uszczu,449,108,3,9,0,41,128,109,0,11,74,0,0
Jogurt naturalny 2% t³uszczu,61,4,2,6,0,63,200,170,0,17,16,0,1
Jogurt bananowy 1.5% t³uszczu,58,4,2,7,0,48,161,132,0,13,19,0,1
Jogurt jagodowy 1.5% t³uszczu,63,4,2,9,0,48,170,134,0,14,19,0,3
Jogurt morelowy 1.5% t³uszczu,64,4,2,9,0,47,200,133,0,14,57,0,2
Jogurt truskawkowy 1.5% t³uszczu,61,4,2,8,0,47,179,134,0,15,19,0,11
Jogurt wiœniowy 1.5% t³uszczu,62,4,2,8,0,49,182,134,0,15,24,0,3
Kefir 2% t³uszczu,51,3,2,5,0,38,122,103,0,10,16,0,0
Maœlanka spo¿ywcza 0.5% t³uszczu,38,3,1,5,0,60,150,110,0,13,8,0,0
Napój mleczny jogurtowy,83,4,2,12,0,59,186,158,0,16,15,0,1
Serwatka p³ynna,25,1,0,5,0,45,129,68,0,1,4,0,0
Brie pe³not³usty,332,20,28,0,0,880,100,600,0,20,285,1,0
Cheddar pe³not³usty,394,27,32,0,0,598,81,703,1,54,382,1,0
